Metabolite_name	RefMet_name	CRA002	CRA004	CRA008	CRA009	CRA010	CRA013	CRA014	CRA019	CRA022	CRA023	CRA026	CRA027	CRA033	CRA036	CRA001	CRA003	CRA005	CRA006	CRA007	CRA011	CRA012	CRA015	CRA016	CRA017	CRA018	CRA020	CRA021	CRA024	CRA025	CRA028	CRA029	CRA030	CRA031	CRA032	CRA034	CRA035	CRA037	CRC001	CRC003	CRC004	CRC005	CRC007	CRC008	CRC011	CRC012	CRC014	CRC015	CRC019	CRC023	CRC025	CRC026	CRC027	CRC031	CRC002	CRC006	CRC009	CRC010	CRC013	CRC016	CRC017	CRC018	CRC020	CRC021	CRC022	CRC024	CRC028	CRC029	CRC030	CRC032	CRC033	CRC034	CRC035	HC001	HC002	HC003	HC004	HC006	HC009	HC012	HC015	HC016	HC017	HC018	HC019	HC020	HC021	HC024	HC025	HC026	HC027	HC005	HC007	HC008	HC010	HC011	HC013	HC014	HC022	HC023	HC028	HC029	HC030
Hexadecanedioic acid	Hexadecanedioic acid	2236900	980250	481960	652500	457810	2739800	198010	506580	542290	796730	86174	1543000	1515100	1150600	926990	1461000	436920	279580	523620	689220	519840	932480	715230	63613	133580	590320	1081300	181700	65534	315900	157280	358490	522670	1226100	1499900	468820	555240	140710	572520	400560	848180	894240	262640	98886	366300	582140	948730	689600	466100	119650	890000	382500	1168600	596780	283980	785690	583640	94952	251270	1411200	537440	236180	508720	872440	798270	376690	226340	562030	234010	374680	127990	917000	1400700	1818600	383180	1638200	2820800	3151100	2621000	486920	641630	824740	2081900	549370	1176000	398050	593980	2336800	245190	605530	2117000	1522900	1079000	727580	4052400	926050	600600	115130	622200	1389800	204370	383110
Hexanoyl Glycine	Hexanoylglycine	17202	536.5500	1650.7000	90117	792.0100	133780	1160000	3775	13527	2600.8000	6762.7000	4709.4000	9	1858.5000	7472.9000	40773	63914	31514	12896	3308.7000	5383.4000	3816	9952.1000	2412.1000	4931.8000	12311	4638.2000	915.5500	10230	1508.4000	9674.2000	11836	3017.3000	655.5800	790.6300	8206	3832.3000	3851.2000	12746	11011	73551	51447	152990	64490	9	12796	25135	3541.9000	308010	731120	7416.5000	50199	3558.2000	11334	3675	2407.3000	1370.3000	9	2490.4000	491620	9788.8000	6085.6000	3466.8000	199740	5846.3000	81592	1096.5000	7534.5000	29649	9	2189.3000	2595.4000	9	13192	1758.9000	518870	24719	3194.8000	5316.7000	45478	2897.1000	5056.9000	29729	3747.6000	8039.2000	24019	1877.1000	395570	20727	5235.2000	15445	43653	37509	77297	3966.5000	5192.1000	4826.7000	5827.9000	3646.8000	1626.1000	2686.6000	15296
His-Ala	His-Ala	390380	101550	114760	373010	152130	30250	288390	94760	17793	386390	123510	54892	162970	130100	60180	3151500	896150	205290	124610	469100	116490	76035	181110	6463	139280	74670	568190	173510	2564.9000	47400	177630	760840	156290	57450	522940	227010	93091	236700	207410	430930	54790	66471	4202	292750	475760	1264600	30167	14808	17031	95655	95043	361840	411730	55685	2069500	22809	362850	1394700	1277100	392360	6594000	1292500	40692	11675	1367600	41940	306950	154770	172830	1149200	821980	31575	52829	39278	121830	58826	87065	56211	110450	117480	370510	31680	116080	65002	99450	137670	98938	12320	54572	208060	23824	130190	206690	68893	167270	411170	71418	54306	171180	87674	113780	727650
Homogentisic Acid	Homogentisic acid	4384.1000	93071	263200	145780	35455	8685.2000	387920	3404.5000	12601	17042	3405.1000	215550	8739.5000	236270	440110	1946.7000	3899.3000	16496	54355	6323.5000	4383	163970	9695.6000	12081	2432.5000	10195	69839	36900	4844.3000	2636.3000	16047	193580	3402.4000	3877.3000	23786	3897.4000	12670	9220	104930	10703	5360	30979	6318.6000	19876	4565	102790	22343	26708	5423.3000	5343.8000	344320	207980	383060	28474	40885	9706.1000	105950	4368	27196	41769	18944	13242	14513	9741.9000	47866	5846	5811	9168.5000	3408.8000	14628	393.7700	21872	207100	183570	60013	12591	93511	607120	211800	8768	250770	297680	108270	88314	66239	11672	10220	17577	58705	150500	98078	36956	322690	326760	29087	13661	31100	113500	16011	259790	40840	677890
Homovanillic Acid sulfate (sodium salt)	Homovanillic acid 4-sulfate	15058	8065700	169090	101220	20394	9566.4000	297920	38975	104620	505510	15805	215630	99281	11745000	17306000	34590	35909	31353	97482	44197	44070	2505100	208130	53650	94218	539260	117180	189950	3320.8000	972.5200	78364	501420	611930	546780	60796	739950	1031100	31459	35149	17049	1694	11476	6884.6000	132240	61398	22708000	6644.7000	2358100	122860	424870	7445100	2687600	54938000	1360.2000	4515200	392070	307640	225020	92817	1274700	16467000	597310	167780	10874	300460	5394.5000	34603	11162	30160	2497100	28482	83596	1383200	12762	1240000	18735	13527000	6175000	3810600	207690	1137400	382310	10381000	1109600	12476000	1024200	242640	502110	486080	2209400	2622800	229600	818310	59955	21490	19529000	555560	21725	6548.6000	5316	3914100	134730
Hydrocinnamic Acid	Hydrocinnamic acid	6523000	1479300	238110	28162000	456150	2494300	149810	1667600	11260000	1550400	768070	842880	9885200	1237100	751460	4252600	2251700	954040	2833400	1180200	2764500	5210200	810750	582010	39409	404480	1265100	565660	411960	4804100	3874100	198890	690200	808080	573500	1095600	567940	6887400	27602000	20641000	71751000	16816000	16170000	1057600	16429000	1661100	50808000	8449700	10567000	484250	12418000	8819500	36265000	13759000	10448000	671250	10276000	20230000	8025000	12065000	15057000	11945	5975800	13296000	5302100	3636300	13832000	2048600	989500	8090800	11559000	12066000	13803000	750290	3522400	17189000	3595800	1393200	1384000	51786	1626900	1325200	869510	12443000	7723300	5134.6000	199980	11123000	1196200	4121900	622710	22608000	2643100	32876000	23416000	7654000	23623000	2231	11088000	3275700	3482700	18711000
Hydroferulic acid	Dihydroferulic acid	386870	7319900	466740	1788700	5137000	65160	1158100	23450	30273	41978000	72872	717000	374200	857020	29706000	153440	101270	216000	647070	714900	8131600	1237900	4160300	6924.5000	6075.6000	130180	328090	33414000	8759.9000	2842000	4879600	1123500	20444000	602260	278560	7088400	157780	1013500	708110	106250	202670	250090	336470	43598	9781900	6179600	129750	217660	609420	2292700	716790	939940	1318600	73098	1185900	3587000	6362100	484650	8755600	860200	8342000	3382800	142680	212460	1178100	517390	4650000	153470	193870	5356400	765430	729770	87050	865580	4623600	114250	1334800	790980	567910	182130	3456200	1075400	1314100	3081200	543520	10036000	2453100	484050	20377000	11940000	280980	26556	351400	106610	601080	11630000	470570	310970	156030	1825500	286270	89154
Hydroxypiperazic acid		289730	172410	69507	136860	128680	127180	16377	304900	117960	5841.9000	64561	134680	336500	251750	32807	166420	261190	56791	222320	255610	124650	217840	190580	16896	167680	65171	488370	103020	154170	141560	46214	306850	35670	99916	148900	1459.1000	144510	441510	158000	107010	187990	97700	131270	16228	113130	8622.3000	166870	77449	76155	62448	143770	311510	165750	247080	38582	91409	187140	69791	99148	50848	17103	119890	117150	84975	110660	177890	106660	153400	65287	3732.3000	68323	174550	26183	171310	9420.8000	56774	64096	75029	106400	13841	28141	89051	347830	153730	78229	4342.6000	137410	54235	172040	13922	99287	14765	4650.6000	14664	30383	3887.9000	23379	9055.2000	169030	141730	16166	19253
Hyodeoxycholic acid	Hyodeoxycholic acid	26674000	17244000	132110	42601	13047000	26553	14138	33838000	111660	24141000	16514000	8157300	7572500	732300	37498000	36278	216400	21364	16711000	4101800	5211600	17726000	4974300	291.1000	594240	4658300	158850	27250000	9	1688300	24338000	5041400	1013200	3668700	3490.8000	5899000	11935000	6701.3000	11997	110350	3465.8000	11630	27531	451880	1712000	2610200	15604	9	9	9	1481300	4116700	494780	11057	512720	143300	3374300	222890	22305	32330	5498500	9	631920	3754.5000	40288	41343	9585100	4047.5000	9701.6000	522170	9	772470	2687	128310	9680800	30380	1666100	928890	4055.8000	6990600	206130	405830	52094000	37661	1364300	14776000	41969000	1148.6000	4117400	703110	4174200	53233	308770	16910	42269	8528500	68342	57132	27402	7454.2000	82819	724680
Hypoxanthine	Hypoxanthine	54035000	337220000	179310000	266450000	236840000	236090000	196100000	145450000	325990000	514400000	182260000	126740000	148480000	224780000	126430000	188730000	256830000	53136000	512070000	372260000	106810000	429610000	90641000	100830000	29203000	176080000	234700000	299980000	136340000	148410000	210820000	310350000	581470000	138320000	92895000	210800000	312290000	59987000	260380000	222850000	460770000	920140000	333820000	96073000	373150000	166850000	329460000	536120000	776370000	14896000	337050000	188050000	236670000	440850000	161370000	295260000	229470000	85574000	197920000	422830000	359220000	68372000	307210000	589360000	190280000	134910000	125310000	103160000	55398000	101060000	353080000	270250000	352240000	298170000	84671000	403270000	387890000	275780000	312020000	133450000	317760000	208400000	150840000	160970000	269770000	29621000	147410000	392180000	160800000	209820000	423180000	602590000	394680000	534120000	542560000	206540000	478700000	145780000	351650000	107680000	30279000	181970000
Ile-Ala	Ile-Ala	2895100	1316900	944880	3072500	625990	1581500	1017000	1412000	152830	3078700	984550	871990	1943600	1064300	1312000	9311400	1863800	3026000	1072600	3701600	977240	1364900	1701600	114490	1367900	915960	2056400	1020000	117310	264660	1679600	2377100	2636700	1581600	1850900	10797000	868480	852830	1967000	6314200	1559300	288830	267820	3325000	972220	11065000	950680	627840	221280	902800	314490	1770000	1708200	1525000	22280000	387730	1661500	2312000	1263400	2860000	24914000	1228800	568350	690160	6726100	3900700	1422900	1737500	2623200	6330700	2046800	493420	1147900	1418200	1071900	831450	1386200	990170	979660	3200200	3408500	993900	1963100	892530	1341200	3559000	865370	532050	610070	5260700	638780	2319600	3614200	776800	949640	5903600	777170	369400	2002900	818650	1431900	12822000
Ile-Gly	Ile-Gly	379660	186410	73731	310310	95832	78420	121240	87236	4419.5000	473120	102760	114130	216560	63792	234260	531730	138210	488830	143770	228440	98298	269470	126250	19000	82840	88634	158390	85750	2214.1000	74719	186260	241780	783990	258020	152460	1293500	170090	102730	62635	1261800	231820	17972	13271	115520	153790	712750	114520	28195	43826	52492	23325	283140	93608	273270	1098700	15270	186260	326070	135940	133960	987070	76275	82975	9065.9000	1311200	392180	239650	160720	497060	455350	47512	32343	109150	66540	135800	145650	85048	68030	43457	520070	505580	34008	330530	83053	391450	190750	86750	35568	173930	747570	62872	472680	819450	72578	60499	755610	120070	32181	311110	85514	130740	1808600
Ile-Phe	Ile-Phe	2579800	2105600	1815800	4665200	700400	769080	949270	1278400	113000	3459700	2258600	327770	2318900	1683400	1824500	1749300	1896100	3052600	1143700	2777500	564270	1474800	1283900	123470	1700400	1002800	2094400	1451400	179740	539380	2696200	5116600	2770400	947660	2026700	10201000	1467900	780250	764910	8495600	1221700	408770	298480	8328900	960300	6176200	892630	578710	308160	286670	512170	2602700	791420	696580	14973000	463040	730960	543790	533530	1330800	5223900	1129000	315270	510650	5579500	1984100	818080	599800	3596700	7390200	222810	552590	620270	762070	881000	909670	1158800	1017100	911650	2558100	4004300	884400	1155300	1234300	2284800	6128500	1031400	344200	568090	5500300	796370	1754900	2515400	729480	1104900	7305300	570060	196720	2807400	574510	1207100	13511000
Ile-Tyr	Ile-Tyr	4292400	3280300	918410	4248200	1315900	717010	1792600	2179300	257320	5658000	3142900	820990	3589800	2260900	1222400	1318800	3432700	2866700	1283600	5469000	2085100	1784500	5039200	151590	4493600	1629700	3140200	2116500	120160	215990	5129300	6022600	5552900	1214300	2909800	18042000	2154200	362980	744590	4377400	662360	477210	225110	3612500	659600	5457800	690860	445010	230140	488590	337690	2196900	562430	567170	9383200	403760	926260	1103300	478170	599520	2151800	522300	442270	353820	2987300	1927000	1176100	1145400	3641700	7888000	109690	527080	762640	571470	1729700	646180	1679300	1217100	682370	2948600	2872200	1102700	1265400	1260000	1879100	8014300	1676200	339020	924650	4176400	852550	1478200	1654800	631720	780930	8458800	705530	291110	2159800	663760	1660200	14134000
Ile-Val	Ile-Val	10674000	20651000	3138300	26802000	7990700	3492100	4377600	6110400	1112800	37888000	17704000	4109600	15059000	10735000	12606000	27216000	7610700	10839000	5265400	13458000	4817700	20234000	8714600	544290	6668700	5452300	7808500	6159400	1086400	4512100	14936000	16075000	38202000	12660000	8460700	33649000	17450000	3941200	10501000	30219000	7614800	1976300	1310200	20259000	6396600	45211000	6607500	3976400	3490100	2051700	2703400	23089000	8977800	7361800	48130000	1945000	33619000	8379700	7266000	16183000	56106000	2585900	4764600	1866300	57228000	13609000	16251000	9343400	11848000	12377000	6729100	2918000	7717700	3939700	4506700	4680800	6562100	6471600	3527700	28188000	15440000	4005600	11310000	3936400	15520000	10526000	4987600	1664000	2823200	17185000	4954200	20325000	42888000	3446800	3645200	24531000	6179600	974920	23583000	2622400	5350200	43627000
Iminodiacetic acid	Iminodiacetate	58777000	14146000	6609400	9338800	9753000	2041800	3679700	3798400	9299400	1436600	3543800	50228000	44730000	38610000	2965400	58366000	94955000	13997000	33456000	59899000	14979000	32488000	30595000	599040	18251000	12811000	66017000	15467000	454210	960530	9880100	50229000	6322400	6286400	36503000	9236100	12574000	7520000	27842000	17715000	38159000	16315000	3632800	639250	27676000	7649200	3458900	15651000	25910000	767970	7873600	28010000	47749000	20502000	9000900	7152800	13348000	6009900	2986000	21273000	47638000	16718000	9819300	8965000	20902000	29150000	1328300	14354000	11066000	5615400	8813900	6432600	4150500	48043000	3765800	12024000	8955600	11634000	21229000	4547300	13979000	39276000	64486000	4614400	6782400	469590	7431900	12262000	8919200	17651000	23094000	20742000	9865500	12190000	27582000	11863000	18616000	1785900	24477000	51376000	5071800	3313800
Indole-3-carbinol	Indole-3-carbinol	6287600	7471500	6299200	6079500	7864100	7154100	7416300	8035000	9017300	7523700	8388700	6683600	7468300	8542000	6307600	6878500	5309000	7680500	8027800	7085400	8311100	7527100	6804600	8828800	8016400	8275500	5867000	8602400	8865200	7341200	7388300	5791200	8877000	8039500	6100900	7484700	7847600	9246200	8766900	8697000	8129100	8742600	8759900	9542100	8756000	7058900	9605200	8518100	6937400	9303200	8236200	7266500	8139400	7986900	7688000	9286600	9153500	8571100	9447700	7450600	6882900	7930400	7631400	9660900	7871700	6464000	9360700	6932400	7651100	8321000	8289600	8557300	6880900	6034800	8242600	6633500	8211100	7118600	7821300	7015000	7231000	7928500	6980300	9490900	7239900	8222300	8429000	6870500	7740300	8734000	6370100	6850500	6656300	7591600	6923800	6688000	6171900	8909300	7595700	5839500	8970500	8196000
Indole-3-Ethanol	Tryptophanol	89468	90841	62576	54701	81329	61366	120770	82998	96562	89054	27925	77378	80508	17937	105780	34844	74007	608540	41651	54193	179720	45481	409530	6747.6000	13941	79789	55280	248890	1641.9000	56113	70175	21290	162020	115230	118770	55302	119230	7050.2000	12284	134970	320920	22747	80771	92510	207450	52612	64954	42500	51640	8634.6000	25646	122270	27877	105500	24469	45078	134910	8031.1000	12452	45125	48568	9252.7000	73648	49812	7105.3000	189820	41784	93855	606840	15498	11292	75463	45414	30048	37155	143110	49336	93018	18321	39141	28868	18984	66547	590080	18997	41321	58806	185890	5633.1000	38203	101290	192880	78181	53515	81670	72386	57950	733080	50195	18007	22938	49370
