Metabolite_name	RefMet_name	CRA002	CRA004	CRA008	CRA009	CRA010	CRA013	CRA014	CRA019	CRA022	CRA023	CRA026	CRA027	CRA033	CRA036	CRA001	CRA003	CRA005	CRA006	CRA007	CRA011	CRA012	CRA015	CRA016	CRA017	CRA018	CRA020	CRA021	CRA024	CRA025	CRA028	CRA029	CRA030	CRA031	CRA032	CRA034	CRA035	CRA037	CRC001	CRC003	CRC004	CRC005	CRC007	CRC008	CRC011	CRC012	CRC014	CRC015	CRC019	CRC023	CRC025	CRC026	CRC027	CRC031	CRC002	CRC006	CRC009	CRC010	CRC013	CRC016	CRC017	CRC018	CRC020	CRC021	CRC022	CRC024	CRC028	CRC029	CRC030	CRC032	CRC033	CRC034	CRC035	HC001	HC002	HC003	HC004	HC006	HC009	HC012	HC015	HC016	HC017	HC018	HC019	HC020	HC021	HC024	HC025	HC026	HC027	HC005	HC007	HC008	HC010	HC011	HC013	HC014	HC022	HC023	HC028	HC029	HC030
SPH(d17:1)	C17 Sphingosine	727730	156790	8406400	12136000	4320700	236170	1403500	1271400	28185000	936720	1086200	222000	686930	809650	1314100	6879800	14457000	2845100	13553000	10799000	187520	1271100	11660000	4616800	1145200	2151400	3253100	393940	849040	8266400	1402200	16330000	745820	480440	320330	2171200	524700	841970	1454200	1418800	4855600	143170	7723900	105740	3552900	209650	692530	91356	526550	123650	2376900	813750	4740100	3696000	626410	1094600	1129700	109620	159390	138700	2095100	784380	1913500	110480	351080	258640	15803000	288320	2285300	703410	217600	534080	250590	158120	425180	732150	705610	111550	946610	186310	1666500	596820	424910	3539200	510340	231110	1843000	109320	1839400	174300	4524200	9084900	6020900	127250	1577900	681190	940260	187800	1050300	335960	2973200	497930
SPH(d18:0)	Sphinganine	16889000	9531200	53979000	262850000	33864000	41551000	46810000	2654000	148050000	9219600	6180600	6569700	4733400	14405000	10527000	31498000	77350000	26420000	41114000	29692000	1711200	16976000	36173000	68590000	7634300	7952200	129930000	35035000	51810000	80779000	13309000	116230000	21892000	37231000	31734000	22876000	48498000	1644500	31967000	177160000	55208000	5627300	159090000	140450	34006000	4442200	8221900	3401800	19804000	1029600	20675000	8469000	134800000	60818000	22209000	37064000	1801300	952050	2317000	8686500	35217000	2608300	112810000	4197200	2499400	10114000	34345000	4902200	29244000	10705000	32284000	22774000	14655000	28321000	5526200	83581000	9778100	13724000	7240500	264520	37412000	9400200	7339900	24601000	6171000	10215000	6541400	9038900	10286000	7085600	53856000	150940000	95546000	10269000	60710000	4211400	51621000	9568100	29459000	14268000	9282800	29812000
SPH(d18:1)	Sphingosine	36943000	39924000	595910000	880160000	477310000	7252600	142760000	113570000	456160000	174550000	46468000	16834000	118460000	60707000	70780000	254780000	1121900000	175620000	419170000	314940000	39194000	116070000	685940000	409760000	42011000	247760000	390190000	46390000	106840000	980770000	227070000	336800000	77563000	30285000	20357000	180020000	68845000	43222000	89794000	178050000	417100000	18367000	398150000	4741100	189330000	19377000	87834000	5767300	31879000	8395400	112820000	40957000	258830000	58506000	72166000	44616000	89736000	10339000	11724000	9797100	138960000	113160000	125650000	5368300	46930000	15624000	252540000	15907000	170070000	55886000	52194000	37831000	33911000	6087400	43058000	63727000	65500000	22963000	76749000	12690000	87500000	20461000	69001000	194700000	54578000	38182000	60443000	9005300	90641000	24313000	383650000	249260000	431270000	9309400	69022000	93290000	106150000	78918000	35071000	54221000	117450000	45493000
SPH(d18:2)	Sphingadienine	1762500	19785000	92977000	74415000	43943000	1068500	9844400	5014300	32967000	19037000	2271800	477240	2819900	3283300	144870000	22837000	72524000	12897000	22551000	11359000	4797700	27904000	43893000	15654000	8527400	22055000	19830000	19780000	3257300	41274000	4977100	48550000	98716000	17606000	739990	68166000	3704800	8197700	77865000	38897000	77046000	1081700	21223000	187310	56859000	6445300	13958000	20467	4631000	569160	14268000	6322700	504580000	7743200	7446300	11365000	17087000	206480	3227000	1095500	42316000	9631600	47514000	3369400	2538600	1808000	65430000	1907900	11483000	21585000	4025200	5924700	3898200	661890	5935000	2579200	7083200	11621000	15802000	1946300	24174000	1257800	8192200	5367100	9580400	5312800	21895000	3900500	12575000	7118000	109240000	52073000	17522000	2050900	33025000	8372000	20443000	12602000	11464000	5090900	47898000	8902400
Sphingosine	Sphingosine	66991000	54603000	409260000	503100000	196400000	4329200	170140000	139230000	77229000	197980000	66126000	16057000	85304000	32541000	59280000	274860000	605300000	62816000	184690000	280370000	54023000	22719000	361730000	130400000	23254000	98734000	396650000	35758000	52110000	218080000	152740000	339650000	36507000	10965000	14984000	91004000	19969000	52265000	35478000	15992000	216800000	7323100	52726000	49311000	88268000	16948000	23114000	1907500	11164000	59910000	86049000	72554000	151750000	52570000	237870000	30809000	57329000	5349100	31741000	8269900	266310000	49406000	49165000	2233100	50738000	16739000	204840000	22254000	77760000	40874000	65806000	49221000	19055000	2296800	14187000	24730000	58730000	16750000	65992000	25763000	63738000	5937400	38425000	152270000	27533000	46889000	40182000	2991400	34419000	23249000	130720000	233240000	418220000	9619000	112850000	133400000	25654000	20060000	23930000	45259000	152810000	49827000
Sphingosyl-phosphocholine		33904	108990	71107	101140	295460	133450	119360	409350	271160	172490	103550	185240	803320	163980	484770	19865	76270	48763	30058	228100	328980	105640	327370	234800	10309	46756	317890	176660	87251	1430300	1016500	25457	99616	62993	99782	399550	209260	1157700	1896100	5355700	132420	38150	31075	967150	199670	5220500	103680	123630	630610	132980	921760	548440	242880	80949	130760	131470	745400	497500	144230	303700	347790	216550	416150	219880	4616300	17587	171100	186650	53751	176830	602000	92932	17919	820610	153310	285230	35735	85001	15240	1117200	2097100	8722000	293970	95252	236690	169770	78193	71781	122080	658340	128590	182760	53273	13680	154680	284610	141230	1005000	86216	162250	1018700	90950
S-Sulfo-L-Cysteine	Cysteine-S-sulfate	8689200	8851700	3259800	1487900	15092000	32371000	25680000	183800	196370	55222000	130280	205240	6182000	2372200	5174400	896950	361620	203680	348420	340120	1778100	5351000	78919	808250	127540	1942800	1531700	526500	1112900	275930	271220	249560000	2291400	91341000	154520000	6103100	5127900	505910	2719800	854440	11278000	11184000	542300	377290	1604900	9043000	528890	112910000	18031000	177090	3109400	9828600	29847000	1317900	285880	1501900	66036	1151600	421310	65815000	2872100	12337000	17568000	290780	129600	44495000	36799	28210000	63385	42638000	425310	46280000	8730700	23714000	2792100	33964000	9189900	10933000	19457000	1619200	24667000	23913000	87171000	936690	8244100	18176000	15435000	129400000	1369200	471270	27486000	86973000	18006000	17384000	51570000	34165000	77072000	12325000	12169000	7530000	19314000	8706100
ST-638		56423000	132610000	6836000	494130	84406000	574690	353230	95642000	34733000	179230000	197220000	68360000	146970000	26469000	98837000	67393	3824300	2902100	42640000	37427000	8190900	35096000	117120000	1246400	125830000	102710000	6363300	132040000	246740	52034000	148030000	107160000	150420000	6811400	342710	133850000	54883000	2993800	2473600	95185	60028	565490	1337100	11938000	74407000	45704000	143600	208510	576890	13967000	14641000	12963000	1570200	322400	711580	7491300	8514100	13062000	3500200	99626	31123000	30464000	6053600	227200	12567000	165440	49234000	1390000	3656700	12887000	240190	4007200	219900	1239800	139750000	484270	88268000	7084000	551610	106960000	11061000	794880	55191000	1452500	6344600	165420000	104520000	89235	159890000	52078000	16626000	511410	207500	2272300	94792	101040000	1663500	83793000	1561100	3235200	375750	22141000
Testosterone	Testosterone	497810	219660	72936	150980	111330	95071	54881	43024	47014	270920	78598	45486	50447	154360	428470	57672	132130	101450	365790	117110	126030	277490	99681	3498.9000	180160	102470	146160	87002	5179	101970	60428	382690	44077	51939	270960	95942	36492	60367	945970	574730	288010	100230	16230	21981	129400	109670	113110	205400	310570	146530	373010	125800	74778	42994	289950	114720	36749	27695	171180	89891	704260	28840	454020	55919	206700	123930	80330	80224	64806	13857	24066	361810	401430	163770	73764	236390	72317	28880	272970	190040	580870	131760	179110	128670	151000	45482	44674	132790	84676	58926	177060	498220	328550	466990	291260	571130	168480	46253	222150	271000	87273	168500
Tetraethylene glycol	Tetraethylene glycol	1940600	745620	960860	26429000	1437100	2964000	2166100	1056100	1150100	1559800	597920	308830	404810	331370	814770	1264900	1946000	6717900	594180	1851800	297940	1517600	1088600	1029700	702180	414630	2612100	768100	1395300	1177600	364520	1162200	613210	530640	2166000	1237700	619880	872810	489530	1432600	217290	373760	1291500	436790	473100	619120	646900	391130	259310	884510	384310	685930	587280	231690	443400	454070	690000	742250	548310	1818300	444650	672040	211720	1424400	468650	443420	817580	680230	6061400	649260	1004800	584150	542950	837260	522130	446600	614730	516170	186750	732600	510580	577550	479690	1284300	1417600	1563400	529340	285670	298540	561010	401750	577060	1136900	556390	383480	479670	423950	6915800	156740	396020	932500	1139200
